Participant-Surname,Experiment-Group,Drainage-Region-Set,Drainage-Region-ID,Drainage-Region-Area-(km2),Drainage-Region-Area-Observed-(km2),Start-Date-(decimal-years),End-Date-(decimal-years),Rate-of-Mass-Change-(Gt/yr),Rate-of-Mass-Change-Uncertainty-(Gt/yr)
Niwano,SMB,Rignot,   B-C,  0.13779E+07,  0.13779E+07, 1983.4987, 1984.4958,  0.69326E+01,  0.23425E+02
Niwano,SMB,Rignot,   B-C,  0.13779E+07,  0.13779E+07, 1984.4987, 1985.4958, -0.13367E+02,  0.23425E+02
Niwano,SMB,Rignot,   B-C,  0.13779E+07,  0.13779E+07, 1985.4987, 1986.4958,  0.10420E+02,  0.23425E+02
Niwano,SMB,Rignot,   B-C,  0.13779E+07,  0.13779E+07, 1986.4987, 1987.4958,  0.24402E+00,  0.23425E+02
Niwano,SMB,Rignot,   B-C,  0.13779E+07,  0.13779E+07, 1987.4987, 1988.4958,  0.18443E+01,  0.23425E+02
Niwano,SMB,Rignot,   B-C,  0.13779E+07,  0.13779E+07, 1988.4987, 1989.4958, -0.28508E+01,  0.23425E+02
Niwano,SMB,Rignot,   B-C,  0.13779E+07,  0.13779E+07, 1989.4987, 1990.4958,  0.25156E+02,  0.23425E+02
Niwano,SMB,Rignot,   B-C,  0.13779E+07,  0.13779E+07, 1990.4987, 1991.4958,  0.26991E+02,  0.23425E+02
Niwano,SMB,Rignot,   B-C,  0.13779E+07,  0.13779E+07, 1991.4987, 1992.4958, -0.88732E+01,  0.23425E+02
Niwano,SMB,Rignot,   B-C,  0.13779E+07,  0.13779E+07, 1992.4987, 1993.4958, -0.83789E+01,  0.23425E+02
Niwano,SMB,Rignot,   B-C,  0.13779E+07,  0.13779E+07, 1993.4987, 1994.4958, -0.64409E+01,  0.23425E+02
Niwano,SMB,Rignot,   B-C,  0.13779E+07,  0.13779E+07, 1994.4987, 1995.4958, -0.48493E+01,  0.23425E+02
Niwano,SMB,Rignot,   B-C,  0.13779E+07,  0.13779E+07, 1995.4987, 1996.4958,  0.30387E+02,  0.23425E+02
Niwano,SMB,Rignot,   B-C,  0.13779E+07,  0.13779E+07, 1996.4987, 1997.4958, -0.14653E+02,  0.23425E+02
Niwano,SMB,Rignot,   B-C,  0.13779E+07,  0.13779E+07, 1997.4987, 1998.4958, -0.24480E+02,  0.23425E+02
Niwano,SMB,Rignot,   B-C,  0.13779E+07,  0.13779E+07, 1998.4987, 1999.4958,  0.34518E+02,  0.23425E+02
